title,variety,price,unit,description
4" Gold Lakshmi,SINGLE SOUND CRACKERS,49.95,PKT,
Super Lakshmi Crackers,SINGLE SOUND CRACKERS,61.05,PKT,
4" Lakshmi Crackers,SINGLE SOUND CRACKERS,33.75,PKT,
3 1/2" Lakshmi Crackers,SINGLE SOUND CRACKERS,27.75,PKT,
2 3/4" Kurvi Crackers,SINGLE SOUND CRACKERS,16.05,PKT,
Adiyal F/4 Kg,Paper Bomb,70.3,BOX,
Adiyal 1/2 Kg,Paper Bomb,140.65,BOX,
Adiyal Fighter 1 Kg,Paper Bomb,196.8,BOX,
Two Sound Crackers,Double SOUND CRACKERS,44.4,PKT,
Flower Pot Big,FLOWER POTS,120.25,BOX,
Flower Pot Special,FLOWER POTS,157.25,BOX,
Flower Pot Apsoka,FLOWER POTS,240.5,BOX,
Colourful Fountain (6 Pieces),MINI FOUNTAINS,444,BOX,
Magical Showers (5 Pieces),MULTI COLOUR FLOWER POTS,148,BOX,
Jelly Bobby Crackling Waterworks,JELLY BOBBY,721.5,BOX,
Ground Chakkar Special,PREMIUM GROUND CHAKKRAS,203.5,BOX,
Whistle Wheel,WHISTLES,255.3,BOX,
Siren (5 Pieces),TWINKLING STARS,195,BOX,
Rocket Bomb,ULTIMATE ROCKETS,458.8,BOX,
Red Bubble,PREMIUM AERIAL FUNCTION,736.3,BOX,
Gold Fish,PETIT NOVELTIES,628.25,BOX,
Double Crackers,EXTRA POWER GARLANDS,342.25,PKT,
1k Crackers,EXTRA POWER GARLANDS,444,BOX,
Sky Shot,SKY SHOT AERIALS,617.9,BOX
