title,variety,subVariety,price,unit,description,categoryId,categoryName
"4""  Gold Lakshmi",SINGLE SOUND CRACKERS,Small Bouquet,49.95,PKT,,8,Crackers
Super Lakshmi Crackers,SINGLE SOUND CRACKERS,Large Garland,61.05,PKT,,8,Crackers
"4""  Lakshmi Crackers",SINGLE SOUND CRACKERS,,33.3,PKT,,8,Crackers
"3 1/2"" Lakshmi Crackers",SINGLE SOUND CRACKERS,,27.75,PKT,,8,Crackers
"2 3/4"" Kuruvi Crackers",SINGLE SOUND CRACKERS,,16.65,PKT,,8,Crackers
Adiyaal 1/4  Kg,Paper Bomb,,70.3,BOX,,8,Crackers
Adiyaal Fighter 1/2  Kg,Paper Bomb,,140.6,BOX,,8,Crackers
Adiyal Fighter 1 Kg,Paper Bomb,,296,BOX,,8,Crackers
Two Sound Crackers,Double SOUND CRACKERS,,44.4,PKT,,8,Crackers
Flower Pot Big,FLOWER POTS ,,120.25,BOX,,8,Crackers
Flower Pot Special,FLOWER POTS ,,157.25,BOX,,8,Crackers
Flower Pot Asoka,FLOWER POTS ,,240.5,BOX,,8,Crackers
Flower Pot Deluxe,FLOWER POTS ,,286.75,BOX,,8,Crackers
Flower Pot Colour Koti,FLOWER POTS ,,333,BOX,,8,Crackers
"Flowerpot Asoka ""ant Brand""",FLOWER POTS ,,314.5,BOX,,8,Crackers
"Colourkoti ""ant Brand""",FLOWER POTS ,,471.75,BOX,,8,Crackers
"Colourkoti Deluxe ""ant Brand""",FLOWER POTS ,,721.5,BOX,,8,Crackers
Colourkoti Multicolour  Balls,FLOWER POTS ,,888,BOX,,8,Crackers
Tricolour Fountain (5 Boxes),MULTI COLOUR FLOWER POTS,,444,BOX,,8,Crackers
Magical Shower (5 Pieces),MULTI COLOUR FLOWER POTS,,148,BOX,,8,Crackers
Candy Crush (6 Multicolour),MULTI COLOUR FLOWER POTS,,758.5,BOX,,8,Crackers
Ben-10 (6 Colour Fountain),MULTI COLOUR FLOWER POTS,,758.5,BOX,,8,Crackers
Super - 6 ( 6 Function 6 Pieces ),CRACKLINGS FOUNTAINS,,814,BOX,,8,Crackers
Angry Bird (6 Crackling),CRACKLINGS FOUNTAINS,,758.5,BOX,,8,Crackers
Jolly Bobby (crackling Wala Effect-,CRACKLINGS FOUNTAINS,,721.5,BOX,,8,Crackers
Jolly Bobby Mocktail 3 Tins 3 Effec,CRACKLINGS FOUNTAINS,,814,BOX,,8,Crackers
Asrafi Gold Mini (10 Pieces),MINI FOUNTAINS,,74,BOX,,8,Crackers
Asrafi Big (5 Pieces),MINI FOUNTAINS,,55.5,BOX,,8,Crackers
Peacock Feather (5 Pieces),MINI FOUNTAINS,,166.5,BOX,,8,Crackers
Ground Chakkar Big,PREMIUM GROUND CHAKKRAS,,61.05,BOX,,8,Crackers
Ground Chakkar Special,PREMIUM GROUND CHAKKRAS,,111,BOX,,8,Crackers
Ground Chakkar Deluxe,PREMIUM GROUND CHAKKRAS,,203.5,BOX,,8,Crackers
Deluxe Spinners Plastic Bottom,SPINNERS,,321.9,BOX,,8,Crackers
Wire Chakkar,SPINNERS,,310.8,BOX,,8,Crackers
Whistle Wheel,WHISTLES,,255.3,BOX,,8,Crackers
Whistling Pencils,WHISTLES,,351.5,BOX,,8,Crackers
Sireon (5 Pieces),WHISTLES,,185,BOX,,8,Crackers
Jil Jil Twinkling Stars,TWINKLING STARS,,92.5,BOX,,8,Crackers
Twinkling Small Length,TWINKLING STARS,,37,BOX,,8,Crackers
Twinkling Stars Deluxe,TWINKLING STARS,,111,BOX,,8,Crackers
Na.trang Pencils ( 5 Pieces ),FANCY PENCILS,,188.7,BOX,,8,Crackers
Ultrapencils Crackling (3 Pieces),FANCY PENCILS,,118.4,BOX,,8,Crackers
Rocket Bomb,ULTIMATE ROCKETS,,111,BOX,,8,Crackers
Lunik Rocket,ULTIMATE ROCKETS,,458.8,BOX,,8,Crackers
Symphony Whistle Rocket,ULTIMATE ROCKETS,,458.8,BOX,,8,Crackers
Rocket Bomb,ULTIMATE ROCKETS,,111,BOX,,8,Crackers
Lunik Rocket,ULTIMATE ROCKETS,,458.8,BOX,,8,Crackers
Symphony Whistle Rocket,ULTIMATE ROCKETS,,458.8,BOX,,8,Crackers
Jeeboombaa (10 Boxes),NOVELTIES,,125.8,BOX,,8,Crackers
Colour Butterfly,NOVELTIES,,120.25,BOX,,8,Crackers
Bambaraa,NOVELTIES,,148,BOX,,8,Crackers
4*4  Wheel,NOVELTIES,,259,BOX,,8,Crackers
Peacock Dance,NOVELTIES,,277.5,BOX,,8,Crackers
Bada Peacock Dance,NOVELTIES,,684.5,BOX,,8,Crackers
Chitput,NOVELTIES,,37,BOX,,8,Crackers
Helicopter Toy,NOVELTIES,,129.5,BOX,,8,Crackers
Photo Flash (5 Pieces),NOVELTIES,,96.2,BOX,,8,Crackers
Gangajamuna (5 Pieces),POWER BOMBS,,133.2,BOX,,8,Crackers
Special Bullet Bomb,POWER BOMBS,,59.2,BOX,,8,Crackers
Atom Bomb,POWER BOMBS,,83.25,BOX,,8,Crackers
Hydro Bomb,POWER BOMBS,,107.3,BOX,,8,Crackers
Classic Bomb,POWER BOMBS,,188.7,BOX,,8,Crackers
Red Bijili Crackers,LOOSE CRACKERS,,55.5,BAG,,8,Crackers
Stripped Bijili Crackers Deluxe,LOOSE CRACKERS,,107.3,BAG,,8,Crackers
Basket Bomb,LOOSE CRACKERS,,133.2,BAG,,8,Crackers
28 Electric Crackers,PREMIUM ELECTRIC CRACKERS,,25.9,PKT,,8,Crackers
28 Giant Crackers,PREMIUM ELECTRIC CRACKERS,,40.7,PKT,,8,Crackers
56 Giant Crackers,PREMIUM ELECTRIC CRACKERS,,77.7,PKT,,8,Crackers
24 Deluxe Crackers,PREMIUM ELECTRIC CRACKERS,,77.7,PKT,,8,Crackers
50 Deluxe Crackers,PREMIUM ELECTRIC CRACKERS,,157.25,PKT,,8,Crackers
100 Deluxe Crackers,PREMIUM ELECTRIC CRACKERS,,342.25,PKT,,8,Crackers
0.1 k Crackers,EXTRA POWER GARLANDS,,55.5,BOX,,8,Crackers
lk  Crackers,EXTRA POWER GARLANDS,,444,BOX,,8,Crackers
2k Crackers,EXTRA POWER GARLANDS,,888,BOX,,8,Crackers
5k Crackers,EXTRA POWER GARLANDS,,2220,BOX,,8,Crackers
10k Crackers,EXTRA POWER GARLANDS,,4440,BOX,,8,Crackers
Sky-5 /  Penta-5,SKY SHOT AERIALS,,370,BOX,,8,Crackers
"Hum Tum 2"" /  3 Pcs",SKY SHOT AERIALS,,617.9,BOX,,8,Crackers
"Hanni & Nanni 2"" /  Pcs",SKY SHOT AERIALS,,617.9,BOX,,8,Crackers
"Zumba 2"" /  3 Pcs",SKY SHOT AERIALS,,617.9,BOX,,8,Crackers
"Bumble Bee 2"" /  3 Pcs",SKY SHOT AERIALS,,617.9,BOX,,8,Crackers
