title,variety,subVariety,price,unit,description,categoryId,categoryName
Banana – Yelakki,Fruits,,150,Kg,,6,Groceries
Banana – Nendran,Fruits,,200,Kg,,6,Groceries
Banana – Robusta,Fruits,,120,Kg,,6,Groceries
Banana – Poovan,Fruits,,250,Kg,,6,Groceries
Apple – Shimla,Fruits,,90,Kg,,6,Groceries
Apple – Washington,Fruits,,,Kg,,6,Groceries
Apple – Fuji,Fruits,,,Kg,,6,Groceries
Apple – Royal Gala,Fruits,,,Kg,,6,Groceries
Mango – Alphonso,Fruits,,,Kg,,6,Groceries
Mango – Badami,Fruits,,,Kg,,6,Groceries
Mango – Totapuri,Fruits,,,Kg,,6,Groceries
Mango – Banganapalli,Fruits,,,Kg,,6,Groceries
Orange – Nagpur,Fruits,,,Kg,,6,Groceries
Orange – Imported,Fruits,,,Kg,,6,Groceries
Mosambi,Fruits,,,Kg,,6,Groceries
Sweet Lime – Local,Fruits,,,Kg,,6,Groceries
Grapes – Green,Fruits,,,Kg,,6,Groceries
Grapes – Black,Fruits,,,Kg,,6,Groceries
Pomegranate,Fruits,,,Kg,,6,Groceries
Papaya,Fruits,,,Kg,,6,Groceries
Pineapple,Fruits,,,Kg,,6,Groceries
Watermelon,Fruits,,,Kg,,6,Groceries
Muskmelon,Fruits,,,Kg,,6,Groceries
Guava – White,Fruits,,,Kg,,6,Groceries
Guava – Pink,Fruits,,,Kg,,6,Groceries
Chikoo,Fruits,,,Kg,,6,Groceries
Custard Apple,Fruits,,,Kg,,6,Groceries
Kiwi,Fruits,,,Kg,,6,Groceries
Strawberry,Fruits,,,Kg,,6,Groceries
Blueberry,Fruits,,,Kg,,6,Groceries
Pear,Fruits,,,Kg,,6,Groceries
Plum,Fruits,,,Kg,,6,Groceries
Peach,Fruits,,,Kg,,6,Groceries
Apricot,Fruits,,,Kg,,6,Groceries
Fig,Fruits,,,Kg,,6,Groceries
Dragon Fruit,Fruits,,,Kg,,6,Groceries
Tomato – Local,Vegetables,,,Kg,,6,Groceries
Tomato – Hybrid,Vegetables,,,Kg,,6,Groceries
Onion – Big,Vegetables,,,Kg,,6,Groceries
Onion – Small,Vegetables,,,Kg,,6,Groceries
Potato – Jyothi,Vegetables,,,Kg,,6,Groceries
Potato – Local,Vegetables,,,Kg,,6,Groceries
Carrot – Ooty,Vegetables,,,Kg,,6,Groceries
Carrot – Local,Vegetables,,,Kg,,6,Groceries
Beans,Vegetables,,,Kg,,6,Groceries
Cluster Beans,Vegetables,,,Kg,,6,Groceries
Brinjal – Purple,Vegetables,,,Kg,,6,Groceries
Brinjal – Green,Vegetables,,,Kg,,6,Groceries
Ladies Finger,Vegetables,,,Kg,,6,Groceries
Cabbage,Vegetables,,,Kg,,6,Groceries
Cauliflower,Vegetables,,,Kg,,6,Groceries
Capsicum – Green,Vegetables,,,Kg,,6,Groceries
Capsicum – Red,Vegetables,,,Kg,,6,Groceries
Capsicum – Yellow,Vegetables,,,Kg,,6,Groceries
Beetroot,Vegetables,,,Kg,,6,Groceries
Radish,Vegetables,,,Kg,,6,Groceries
Ridge Gourd,Vegetables,,,Kg,,6,Groceries
Bottle Gourd,Vegetables,,,Kg,,6,Groceries
Snake Gourd,Vegetables,,,Kg,,6,Groceries
Ash Gourd,Vegetables,,,Kg,,6,Groceries
Pumpkin,Vegetables,,,Kg,,6,Groceries
Drumstick,Vegetables,,,Kg,,6,Groceries
Sweet Corn,Vegetables,,,Kg,,6,Groceries
Green Peas,Vegetables,,,Kg,,6,Groceries
Broad Beans,Vegetables,,,Kg,,6,Groceries
French Beans,Vegetables,,,Kg,,6,Groceries
Tinda,Vegetables,,,Kg,,6,Groceries
Chow Chow,Vegetables,,,Kg,,6,Groceries
Raw Banana,Vegetables,,,Kg,,6,Groceries
Raw Papaya,Vegetables,,,Kg,,6,Groceries
Spinach,Leafy Vegetables,,,Bunch,,6,Groceries
Palak,Leafy Vegetables,,,Bunch,,6,Groceries
Coriander Leaves,Leafy Vegetables,,,Bunch,,6,Groceries
Curry Leaves,Leafy Vegetables,,,Bunch,,6,Groceries
Mint Leaves,Leafy Vegetables,,,Bunch,,6,Groceries
Fenugreek Leaves,Leafy Vegetables,,,Bunch,,6,Groceries
Dill Leaves,Leafy Vegetables,,,Bunch,,6,Groceries
Amaranthus – Green,Leafy Vegetables,,,Bunch,,6,Groceries
Amaranthus – Red,Leafy Vegetables,,,Bunch,,6,Groceries
Basale Soppu,Leafy Vegetables,,,Bunch,,6,Groceries
Shepu Soppu,Leafy Vegetables,,,Bunch,,6,Groceries
Gongura,Leafy Vegetables,,,Bunch,,6,Groceries
Colocasia Leaves,Leafy Vegetables,,,Bunch,,6,Groceries
White Bread,Bakery,,,Packet,,6,Groceries
Brown Bread,Bakery,,,Packet,,6,Groceries
Milk Bread,Bakery,,,Packet,,6,Groceries
Multigrain Bread,Bakery,,,Packet,,6,Groceries
Bun,Bakery,,,Packet,,6,Groceries
